Airline,Flight Number,Source City,Departure Time,Number of Stops,Arrival Time,Destination City,Duration (Minutes),Price
British Airways,1613,Los Angeles,2024-05-14T21:25:00,0,2024-05-15T16:05:00,London,640,$628
United,231,Los Angeles,2024-05-14T12:50:00,0,2024-05-15T07:25:00,London,635,$628
American Airlines,6983,Los Angeles,2024-05-14T19:30:00,0,2024-05-15T14:00:00,London,630,$628
United,923,Los Angeles,2024-05-14T16:50:00,0,2024-05-15T11:25:00,London,635,$628
American Airlines,6935,Los Angeles,2024-05-14T15:40:00,0,2024-05-15T10:10:00,London,630,$628
British Airways,1509,Los Angeles,2024-05-14T14:25:00,0,2024-05-15T09:00:00,London,635,$659
American Airlines,138,Los Angeles,2024-05-14T21:25:00,0,2024-05-15T16:05:00,London,640,$628
British Airways,268,Los Angeles,2024-05-15T19:30:00,0,2024-05-16T14:00:00,London,630,$628
British Airways,1509,Los Angeles,2024-05-15T14:25:00,0,2024-05-16T09:00:00,London,635,$628
British Airways,1604,Los Angeles,2024-05-15T18:15:00,0,2024-05-16T12:50:00,London,635,$628
British Airways,1613,Los Angeles,2024-05-15T21:25:00,0,2024-05-16T16:05:00,London,640,$628
British Airways,280,Los Angeles,2024-05-15T17:10:00,0,2024-05-16T11:30:00,London,620,$657
American Airlines,6983,Los Angeles,2024-05-15T19:30:00,0,2024-05-16T14:00:00,London,630,$628
United,231,Los Angeles,2024-05-15T12:50:00,0,2024-05-16T07:25:00,London,635,$628
United,923,Los Angeles,2024-05-15T16:50:00,0,2024-05-16T11:25:00,London,635,$628
American Airlines,136,Los Angeles,2024-05-15T14:25:00,0,2024-05-16T09:00:00,London,635,$628
American Airlines,134,Los Angeles,2024-05-15T18:15:00,0,2024-05-16T12:50:00,London,635,$628
Norse Atlantic Airways (UK),712,Los Angeles,2024-05-16T16:30:00,0,2024-05-17T10:55:00,London,625,$355
British Airways,268,Los Angeles,2024-05-16T19:30:00,0,2024-05-17T14:00:00,London,630,$632
British Airways,282,Los Angeles,2024-05-16T15:40:00,0,2024-05-17T10:10:00,London,630,$632
British Airways,1604,Los Angeles,2024-05-16T18:15:00,0,2024-05-17T12:50:00,London,635,$632
British Airways,1509,Los Angeles,2024-05-16T14:25:00,0,2024-05-17T09:00:00,London,635,$632
British Airways,1613,Los Angeles,2024-05-16T21:25:00,0,2024-05-17T16:05:00,London,640,$632
Iberia,4262,Los Angeles,2024-05-16T18:15:00,0,2024-05-17T12:50:00,London,635,$630
Iberia,4237,Los Angeles,2024-05-16T14:25:00,0,2024-05-17T09:00:00,London,635,$630
Finnair,4092,Los Angeles,2024-05-16T21:25:00,0,2024-05-17T16:05:00,London,640,$657
Finnair,4013,Los Angeles,2024-05-16T18:15:00,0,2024-05-17T12:50:00,London,635,$657
Norse Atlantic Airways (UK),712,Los Angeles,2024-05-17T16:30:00,0,2024-05-18T10:55:00,London,625,$376
British Airways,1604,Los Angeles,2024-05-17T18:15:00,0,2024-05-18T12:50:00,London,635,$559
British Airways,1509,Los Angeles,2024-05-17T14:25:00,0,2024-05-18T09:00:00,London,635,$559
Finnair,4013,Los Angeles,2024-05-17T18:15:00,0,2024-05-18T12:50:00,London,635,$574
British Airways,282,Los Angeles,2024-05-17T15:40:00,0,2024-05-18T10:10:00,London,630,$627
Finnair,5784,Los Angeles,2024-05-17T14:25:00,0,2024-05-18T09:00:00,London,635,$574
Iberia,4262,Los Angeles,2024-05-17T18:15:00,0,2024-05-18T12:50:00,London,635,$573
Iberia,4237,Los Angeles,2024-05-17T14:25:00,0,2024-05-18T09:00:00,London,635,$573
Lufthansa,9336,Los Angeles,2024-05-17T12:50:00,0,2024-05-18T07:25:00,London,635,$635
Lufthansa,9343,Los Angeles,2024-05-17T16:50:00,0,2024-05-18T11:25:00,London,635,$635
British Airways,282,Los Angeles,2024-05-18T15:40:00,0,2024-05-19T10:10:00,London,630,$628
British Airways,1509,Los Angeles,2024-05-18T14:25:00,0,2024-05-19T09:00:00,London,635,$628
British Airways,268,Los Angeles,2024-05-18T19:30:00,0,2024-05-19T14:00:00,London,630,$628
British Airways,1604,Los Angeles,2024-05-18T18:15:00,0,2024-05-19T12:50:00,London,635,$628
United,231,Los Angeles,2024-05-18T12:50:00,0,2024-05-19T07:25:00,London,635,$628
American Airlines,6935,Los Angeles,2024-05-18T15:40:00,0,2024-05-19T10:10:00,London,630,$628
British Airways,1613,Los Angeles,2024-05-18T21:25:00,0,2024-05-19T16:05:00,London,640,$628
United,923,Los Angeles,2024-05-18T16:50:00,0,2024-05-19T11:25:00,London,635,$628
American Airlines,136,Los Angeles,2024-05-18T14:25:00,0,2024-05-19T09:00:00,London,635,$628
American Airlines,6983,Los Angeles,2024-05-18T19:30:00,0,2024-05-19T14:00:00,London,630,$628
Norse Atlantic Airways (UK),712,Los Angeles,2024-05-19T16:30:00,0,2024-05-20T10:55:00,London,625,$335
British Airways,1509,Los Angeles,2024-05-19T14:25:00,0,2024-05-20T09:00:00,London,635,$630
British Airways,1604,Los Angeles,2024-05-19T18:15:00,0,2024-05-20T12:50:00,London,635,$630
British Airways,1613,Los Angeles,2024-05-19T21:25:00,0,2024-05-20T16:05:00,London,640,$630
Finnair,5784,Los Angeles,2024-05-19T14:25:00,0,2024-05-20T09:00:00,London,635,$630
Finnair,4013,Los Angeles,2024-05-19T18:15:00,0,2024-05-20T12:50:00,London,635,$630
Iberia,4237,Los Angeles,2024-05-19T14:25:00,0,2024-05-20T09:00:00,London,635,$630
Finnair,4092,Los Angeles,2024-05-19T21:25:00,0,2024-05-20T16:05:00,London,640,$630
Iberia,4262,Los Angeles,2024-05-19T18:15:00,0,2024-05-20T12:50:00,London,635,$630
Iberia,4819,Los Angeles,2024-05-19T21:25:00,0,2024-05-20T16:05:00,London,640,$630
British Airways,280,Los Angeles,2024-05-20T17:10:00,0,2024-05-21T11:30:00,London,620,$638
British Airways,1509,Los Angeles,2024-05-20T14:25:00,0,2024-05-21T09:00:00,London,635,$638
British Airways,268,Los Angeles,2024-05-20T19:30:00,0,2024-05-21T14:00:00,London,630,$638
British Airways,1604,Los Angeles,2024-05-20T18:15:00,0,2024-05-21T12:50:00,London,635,$638
British Airways,1613,Los Angeles,2024-05-20T21:25:00,0,2024-05-21T16:05:00,London,640,$638
Finnair,5784,Los Angeles,2024-05-20T14:25:00,0,2024-05-21T09:00:00,London,635,$627
Iberia,7438,Los Angeles,2024-05-20T17:10:00,0,2024-05-21T11:30:00,London,620,$628
Finnair,4013,Los Angeles,2024-05-20T18:15:00,0,2024-05-21T12:50:00,London,635,$627
Finnair,4092,Los Angeles,2024-05-20T21:25:00,0,2024-05-21T16:05:00,London,640,$627
Iberia,4237,Los Angeles,2024-05-20T14:25:00,0,2024-05-21T09:00:00,London,635,$628
Norse Atlantic Airways (UK),712,Los Angeles,2024-05-21T16:30:00,0,2024-05-22T10:55:00,London,625,$327
British Airways,280,Los Angeles,2024-05-21T17:10:00,0,2024-05-22T11:30:00,London,620,$630
Norse Atlantic Airways,12,Los Angeles,2024-05-21T15:30:00,1,2024-05-22T14:25:00,London,895,$316
British Airways,1509,Los Angeles,2024-05-21T14:25:00,0,2024-05-22T09:00:00,London,635,$628
British Airways,268,Los Angeles,2024-05-21T19:30:00,0,2024-05-22T14:00:00,London,630,$628
British Airways,1604,Los Angeles,2024-05-21T18:15:00,0,2024-05-22T12:50:00,London,635,$628
British Airways,1613,Los Angeles,2024-05-21T21:25:00,0,2024-05-22T16:05:00,London,640,$628
United,231,Los Angeles,2024-05-21T12:50:00,0,2024-05-22T07:25:00,London,635,$628
American Airlines,6983,Los Angeles,2024-05-21T19:30:00,0,2024-05-22T14:00:00,London,630,$628
United,923,Los Angeles,2024-05-21T16:50:00,0,2024-05-22T11:25:00,London,635,$628
Aer Lingus,68,Los Angeles,2024-05-22T20:15:00,1,2024-05-23T18:55:00,London,880,$657
French Bee,731,Los Angeles,2024-05-22T19:45:00,1,2024-05-23T18:55:00,London,910,$514
jetBlue,2924,Los Angeles,2024-05-22T23:00:00,1,2024-05-23T20:45:00,London,825,$722
Aer Lingus,68,Los Angeles,2024-05-22T20:15:00,1,2024-05-23T17:20:00,London,785,$837
Condor,2087,Los Angeles,2024-05-22T19:00:00,1,2024-05-23T16:40:00,London,820,$810
jetBlue,324,Los Angeles,2024-05-22T10:10:00,1,2024-05-23T09:30:00,London,920,$717
Air Caraibes,6731,Los Angeles,2024-05-22T19:45:00,1,2024-05-23T18:55:00,London,910,$565
Norse Atlantic Airways,312,Los Angeles,2024-05-22T21:10:00,1,2024-05-23T19:35:00,London,865,$611
French Bee,731,Los Angeles,2024-05-22T19:45:00,1,2024-05-23T19:35:00,London,950,$580
Condor,2087,Los Angeles,2024-05-22T19:00:00,1,2024-05-23T16:40:00,London,820,$762
Norse Atlantic Airways (UK),712,Los Angeles,2024-05-23T16:30:00,0,2024-05-24T10:55:00,London,625,$406
Virgin Atlantic,142,Los Angeles,2024-05-23T19:10:00,0,2024-05-24T13:30:00,London,620,"$1,230"
British Airways,280,Los Angeles,2024-05-23T17:10:00,0,2024-05-24T11:30:00,London,620,"$1,230"
